,pclass,survived,sex,age,sibsp,parch,fare,embarked
48,1,1,female,53.0,0,0,27.4,C
49,1,1,male,36.0,0,1,512.3,C
50,1,1,female,58.0,0,1,512.3,C
51,1,0,male,33.0,0,0,5.0,S
52,1,0,male,28.0,0,0,47.1,S
53,1,0,male,17.0,0,0,47.1,S
54,1,1,male,11.0,1,2,120.0,S
55,1,1,female,14.0,1,2,120.0,S
56,1,1,male,36.0,1,2,120.0,S
57,1,1,female,36.0,1,2,120.0,S
58,1,0,male,49.0,0,0,26.0,S
59,1,1,female,28.0,0,0,27.7,C
60,1,0,male,36.0,1,0,78.8,S
61,1,1,female,76.0,1,0,78.8,S
62,1,0,male,46.0,1,0,61.2,S
63,1,1,female,47.0,1,0,61.2,S
64,1,1,male,27.0,1,0,53.1,S
65,1,1,female,33.0,1,0,53.1,S
66,1,1,female,36.0,0,0,262.4,C
67,1,1,female,30.0,0,0,86.5,S
68,1,1,male,45.0,0,0,29.7,C
69,1,1,female,28.0,0,1,55.0,S
70,1,0,male,28.0,0,0,0.0,S
71,1,0,male,27.0,1,0,136.8,C
72,1,1,female,26.0,1,0,136.8,C
73,1,1,female,22.0,0,0,151.6,S
74,1,0,male,28.0,0,0,52.0,S
75,1,0,male,47.0,0,0,25.6,S
76,1,1,female,39.0,1,1,83.2,C
77,1,0,male,37.0,1,1,83.2,C
78,1,1,female,64.0,0,2,83.2,C
79,1,1,female,55.0,2,0,25.7,S
80,1,0,male,28.0,0,0,26.6,S
81,1,0,male,70.0,1,1,71.0,S
82,1,1,female,36.0,0,2,71.0,S
83,1,1,female,64.0,1,1,26.6,S
84,1,0,male,39.0,1,0,71.3,C
85,1,1,female,38.0,1,0,71.3,C
86,1,1,male,51.0,0,0,26.6,S
87,1,1,male,27.0,0,0,30.5,S
88,1,1,female,33.0,0,0,151.6,S
89,1,0,male,31.0,1,0,52.0,S
90,1,1,female,27.0,1,2,52.0,S
91,1,1,male,31.0,1,0,57.0,S
92,1,1,female,17.0,1,0,57.0,S
93,1,1,male,53.0,1,1,81.9,S
94,1,1,male,4.0,0,2,81.9,S
95,1,1,female,54.0,1,1,81.9,S
96,1,0,male,50.0,1,0,106.4,C
97,1,1,female,27.0,1,1,247.5,C
98,1,1,female,48.0,1,0,106.4,C
99,1,1,female,48.0,1,0,39.6,C
100,1,1,male,49.0,1,0,56.9,C
101,1,0,male,39.0,0,0,29.7,C
102,1,1,female,23.0,0,1,83.2,C
103,1,1,female,38.0,0,0,227.5,C
104,1,1,female,54.0,1,0,78.3,C
105,1,0,female,36.0,0,0,31.7,C
106,1,0,male,28.0,0,0,221.8,S
107,1,1,female,28.0,0,0,31.7,S
108,1,1,female,28.0,0,0,110.9,C
109,1,1,male,36.0,0,0,26.4,S
110,1,0,male,30.0,0,0,27.8,C
111,1,1,female,24.0,3,2,263.0,S
112,1,1,female,28.0,3,2,263.0,S
113,1,1,female,23.0,3,2,263.0,S
114,1,0,male,19.0,3,2,263.0,S
115,1,0,male,64.0,1,4,263.0,S
116,1,1,female,60.0,1,4,263.0,S
117,1,1,female,30.0,0,0,56.9,C
118,1,0,male,28.0,0,0,26.6,S
119,1,1,male,50.0,2,0,133.6,S
120,1,1,male,43.0,1,0,27.7,C
121,1,1,female,28.0,1,0,133.6,S
122,1,1,female,22.0,0,2,49.5,C
123,1,1,male,60.0,1,1,79.2,C
124,1,1,female,48.0,1,1,79.2,C
125,1,0,male,28.0,0,0,0.0,S
126,1,0,male,37.0,1,0,53.1,S
127,1,1,female,35.0,1,0,53.1,S
128,1,0,male,47.0,0,0,38.5,S
129,1,1,female,35.0,0,0,211.5,C
130,1,1,female,22.0,0,1,59.4,C
131,1,1,female,45.0,0,1,59.4,C
132,1,0,male,24.0,0,0,79.2,C
133,1,1,male,49.0,1,0,89.1,C
134,1,1,female,28.0,1,0,89.1,C
135,1,0,male,71.0,0,0,34.7,C
136,1,1,male,53.0,0,0,28.5,C
137,1,1,female,19.0,0,0,30.0,S
138,1,0,male,38.0,0,1,153.5,S
139,1,1,female,58.0,0,1,153.5,S
140,1,1,male,23.0,0,1,63.4,C
141,1,1,female,45.0,0,1,63.4,C
142,1,0,male,46.0,0,0,79.2,C
143,1,1,male,25.0,1,0,55.4,C
144,1,1,female,25.0,1,0,55.4,C
145,1,1,male,48.0,1,0,76.7,C
146,1,1,female,49.0,1,0,76.7,C
147,1,0,male,28.0,0,0,42.4,S
148,1,0,male,45.0,1,0,83.5,S
149,1,1,female,35.0,1,0,83.5,S
150,1,0,male,40.0,0,0,0.0,S
151,1,1,male,27.0,0,0,76.7,C
152,1,1,male,28.0,0,0,30.0,S
153,1,1,female,24.0,0,0,83.2,C
154,1,0,male,55.0,1,1,93.5,S
155,1,1,female,52.0,1,1,93.5,S
156,1,0,male,42.0,0,0,42.5,S
157,1,0,male,28.0,0,0,51.9,S
158,1,0,male,55.0,0,0,50.0,S
159,1,1,female,16.0,0,1,58.0,C
160,1,1,female,44.0,0,1,58.0,C
161,1,1,female,51.0,1,0,78.0,S
162,1,0,male,42.0,1,0,52.0,S
163,1,1,female,35.0,1,0,52.0,S
164,1,1,male,35.0,0,0,26.6,C
165,1,1,male,38.0,1,0,90.0,S
166,1,0,male,28.0,0,0,30.7,C
167,1,1,female,35.0,1,0,90.0,S
168,1,0,female,50.0,0,0,28.7,C
169,1,1,male,49.0,0,0,0.0,S
170,1,0,male,46.0,0,0,26.0,S
171,1,0,male,50.0,0,0,26.0,S
172,1,0,male,32.5,0,0,211.5,C
173,1,0,male,58.0,0,0,29.7,C
174,1,0,male,41.0,1,0,51.9,S
175,1,1,female,28.0,1,0,51.9,S
176,1,1,male,42.0,1,0,52.6,S
177,1,1,female,45.0,1,0,52.6,S
178,1,0,male,28.0,0,0,26.6,S
179,1,1,female,39.0,0,0,211.3,S
180,1,1,female,49.0,0,0,25.9,S
181,1,1,female,30.0,0,0,106.4,C
182,1,1,male,35.0,0,0,512.3,C
183,1,0,male,28.0,0,0,27.7,C
184,1,0,male,42.0,0,0,26.6,S
185,1,1,female,55.0,0,0,27.7,C
186,1,1,female,16.0,0,1,39.4,S
187,1,1,female,51.0,0,1,39.4,S
188,1,0,male,29.0,0,0,30.0,S
189,1,1,female,21.0,0,0,78.0,S
190,1,0,male,30.0,0,0,45.5,S
191,1,1,female,58.0,0,0,146.5,C
192,1,1,female,15.0,0,1,211.3,S
193,1,0,male,30.0,0,0,26.0,S
194,1,1,female,16.0,0,0,86.5,S
195,1,1,male,28.0,0,0,29.7,C
196,1,0,male,19.0,1,0,53.1,S
197,1,1,female,18.0,1,0,53.1,S
198,1,1,female,24.0,0,0,49.5,C
199,1,0,male,46.0,0,0,75.2,C
200,1,0,male,54.0,0,0,51.9,S
201,1,1,male,36.0,0,0,26.3,S
202,1,0,male,28.0,1,0,82.2,C
203,1,1,female,28.0,1,0,82.2,C
204,1,0,male,65.0,0,0,26.6,S
205,1,0,male,44.0,2,0,90.0,Q
206,1,1,female,33.0,1,0,90.0,Q
207,1,1,female,37.0,1,0,90.0,Q
208,1,1,male,30.0,1,0,57.8,C
209,1,0,male,55.0,0,0,30.5,S
210,1,0,male,47.0,0,0,42.4,S
211,1,0,male,37.0,0,1,29.7,C
212,1,1,female,31.0,1,0,113.3,C
213,1,1,female,23.0,1,0,113.3,C
214,1,0,male,58.0,0,2,113.3,C
215,1,1,female,19.0,0,2,26.3,S
216,1,0,male,64.0,0,0,26.0,S
217,1,1,female,39.0,0,0,108.9,C
218,1,1,male,28.0,0,0,25.7,C
219,1,1,female,22.0,0,1,62.0,C
220,1,0,male,65.0,0,1,62.0,C
221,1,0,male,28.5,0,0,27.7,C
222,1,0,male,28.0,0,0,0.0,S
223,1,0,male,45.5,0,0,28.5,S
224,1,0,male,23.0,0,0,93.5,S
225,1,0,male,29.0,1,0,66.6,S
226,1,1,female,22.0,1,0,66.6,S
227,1,0,male,18.0,1,0,108.9,C
228,1,1,female,17.0,1,0,108.9,C
229,1,1,female,30.0,0,0,93.5,S
230,1,1,male,52.0,0,0,30.5,S
231,1,0,male,47.0,0,0,52.0,S
232,1,1,female,56.0,0,1,83.2,C
233,1,0,male,38.0,0,0,0.0,S
234,1,1,male,28.0,0,0,39.6,S
235,1,0,male,22.0,0,0,135.6,C
236,1,0,male,28.0,0,0,227.5,C
237,1,1,female,43.0,0,1,211.3,S
238,1,0,male,31.0,0,0,50.5,S
239,1,1,male,45.0,0,0,26.6,S
240,1,0,male,28.0,0,0,50.0,S
241,1,1,female,33.0,0,0,27.7,C
242,1,0,male,46.0,0,0,79.2,C
243,1,0,male,36.0,0,0,40.1,C
244,1,1,female,33.0,0,0,86.5,S
245,1,0,male,55.0,1,0,59.4,C
246,1,1,female,54.0,1,0,59.4,C
247,1,0,male,33.0,0,0,26.6,S
248,1,1,male,13.0,2,2,262.4,C
249,1,1,female,18.0,2,2,262.4,C
250,1,1,female,21.0,2,2,262.4,C
251,1,0,male,61.0,1,3,262.4,C
252,1,1,female,48.0,1,3,262.4,C
253,1,1,male,28.0,0,0,30.5,S
254,1,1,female,24.0,0,0,69.3,C
255,1,1,male,28.0,0,0,26.0,S
256,1,1,female,35.0,1,0,57.8,C
257,1,1,female,30.0,0,0,31.0,C
258,1,1,male,34.0,0,0,26.6,S
259,1,1,female,40.0,0,0,153.5,S
260,1,1,male,35.0,0,0,26.3,S
261,1,0,male,50.0,1,0,55.9,S
262,1,1,female,39.0,1,0,55.9,S
263,1,1,male,56.0,0,0,35.5,C
264,1,1,male,28.0,0,0,35.5,S
265,1,0,male,56.0,0,0,26.6,S
266,1,0,male,56.0,0,0,30.7,C
267,1,0,male,24.0,1,0,60.0,S
268,1,0,male,28.0,0,0,26.0,S
269,1,1,female,18.0,1,0,60.0,S
270,1,1,male,24.0,1,0,82.3,S
271,1,1,female,23.0,1,0,82.3,S
272,1,1,male,6.0,0,2,134.5,C
273,1,1,male,45.0,1,1,134.5,C
274,1,1,female,40.0,1,1,134.5,C
275,1,0,male,57.0,1,0,146.5,C
276,1,1,female,28.0,1,0,146.5,C
277,1,1,male,32.0,0,0,30.5,C
278,1,0,male,62.0,0,0,26.6,S
279,1,1,male,54.0,1,0,55.4,C
280,1,1,female,43.0,1,0,55.4,C
281,1,1,female,52.0,1,0,78.3,C
282,1,0,male,28.0,0,0,27.7,C
283,1,0,male,67.0,1,0,221.8,S
284,1,0,female,63.0,1,0,221.8,S
285,1,0,male,61.0,0,0,32.3,S
286,1,1,female,48.0,0,0,25.9,S
287,1,1,female,18.0,0,2,79.6,S
288,1,0,male,52.0,1,1,79.6,S
289,1,1,female,39.0,1,1,79.6,S
290,1,1,male,48.0,1,0,52.0,S
291,1,1,female,28.0,1,0,52.0,S
292,1,0,male,49.0,1,1,110.9,C
293,1,1,male,17.0,0,2,110.9,C
294,1,1,female,39.0,1,1,110.9,C
295,1,1,female,28.0,0,0,79.2,C
296,1,1,male,31.0,0,0,28.5,C
297,1,0,male,40.0,0,0,27.7,C
298,1,0,male,61.0,0,0,33.5,S
299,1,0,male,47.0,0,0,34.0,S
300,1,1,female,35.0,0,0,512.3,C
301,1,0,male,64.0,1,0,75.2,C
302,1,1,female,60.0,1,0,75.2,C
303,1,0,male,60.0,0,0,26.6,S
304,1,0,male,54.0,0,1,77.3,S
305,1,0,male,21.0,0,1,77.3,S
306,1,1,female,55.0,0,0,135.6,C
307,1,1,female,31.0,0,2,164.9,S
308,1,0,male,57.0,1,1,164.9,S
309,1,1,female,45.0,1,1,164.9,S
310,1,0,male,50.0,1,1,211.5,C
311,1,0,male,27.0,0,2,211.5,C
312,1,1,female,50.0,1,1,211.5,C
313,1,1,female,21.0,0,0,26.6,S
314,1,0,male,51.0,0,1,61.4,C
315,1,1,male,21.0,0,1,61.4,C
316,1,0,male,28.0,0,0,35.0,S
317,1,1,female,31.0,0,0,134.5,C
318,1,1,male,28.0,0,0,35.5,S
319,1,0,male,62.0,0,0,26.6,S
320,1,1,female,36.0,0,0,135.6,C
321,2,0,male,30.0,1,0,24.0,C
322,2,1,female,28.0,1,0,24.0,C
323,2,0,male,30.0,0,0,13.0,S
324,2,0,male,18.0,0,0,11.5,S
325,2,0,male,25.0,0,0,10.5,S
326,2,0,male,34.0,1,0,26.0,S
327,2,1,female,36.0,1,0,26.0,S
328,2,0,male,57.0,0,0,13.0,S
329,2,0,male,18.0,0,0,11.5,S
330,2,0,male,23.0,0,0,10.5,S
331,2,1,female,36.0,0,0,13.0,S
332,2,0,male,28.0,0,0,10.5,S
333,2,0,male,51.0,0,0,12.5,S
334,2,1,male,32.0,1,0,26.0,S
335,2,1,female,19.0,1,0,26.0,S
336,2,0,male,28.0,0,0,26.0,S
337,2,1,male,1.0,2,1,39.0,S
338,2,1,female,4.0,2,1,39.0,S
339,2,1,female,12.0,2,1,39.0,S
340,2,1,female,36.0,0,3,39.0,S
341,2,1,male,34.0,0,0,13.0,S
342,2,1,female,19.0,0,0,13.0,S
343,2,0,male,23.0,0,0,13.0,S
344,2,0,male,26.0,0,0,13.0,S
345,2,0,male,42.0,0,0,13.0,S
346,2,0,male,27.0,0,0,13.0,S
347,2,1,female,24.0,0,0,13.0,S
348,2,1,female,15.0,0,2,39.0,S
349,2,0,male,60.0,1,1,39.0,S
350,2,1,female,40.0,1,1,39.0,S
351,2,1,female,20.0,1,0,26.0,S
352,2,0,male,25.0,1,0,26.0,S
353,2,1,female,36.0,0,0,13.0,S
354,2,0,male,25.0,0,0,13.0,S
355,2,0,male,42.0,0,0,13.0,S
356,2,1,female,42.0,0,0,13.0,S
357,2,1,male,0.8,0,2,29.0,S
358,2,1,male,26.0,1,1,29.0,S
359,2,1,female,22.0,1,1,29.0,S
360,2,1,female,35.0,0,0,21.0,S
361,2,0,male,28.0,0,0,0.0,S
362,2,0,male,19.0,0,0,13.0,S
363,2,0,female,44.0,1,0,26.0,S
364,2,0,male,54.0,1,0,26.0,S
365,2,0,male,52.0,0,0,13.5,S
366,2,0,male,37.0,1,0,26.0,S
367,2,0,female,29.0,1,0,26.0,S
368,2,1,female,25.0,1,1,30.0,S
369,2,1,female,45.0,0,2,30.0,S
370,2,0,male,29.0,1,0,26.0,S
371,2,1,female,28.0,1,0,26.0,S
372,2,0,male,29.0,0,0,10.5,S
373,2,0,male,28.0,0,0,13.0,S
374,2,1,male,24.0,0,0,10.5,S
375,2,1,female,8.0,0,2,26.2,S
376,2,0,male,31.0,1,1,26.2,S
377,2,1,female,31.0,1,1,26.2,S
378,2,1,female,22.0,0,0,10.5,S
379,2,0,female,30.0,0,0,13.0,S
380,2,0,female,28.0,0,0,21.0,S
381,2,0,male,21.0,0,0,11.5,S
382,2,0,male,28.0,0,0,0.0,S
383,2,1,male,8.0,1,1,36.8,S
384,2,0,male,18.0,0,0,73.5,S
385,2,1,female,48.0,0,2,36.8,S
386,2,1,female,28.0,0,0,13.0,S
387,2,0,male,32.0,0,0,13.0,S
388,2,0,male,17.0,0,0,73.5,S
389,2,0,male,29.0,1,0,27.7,C
390,2,1,female,24.0,1,0,27.7,C
391,2,0,male,25.0,0,0,31.5,S
392,2,0,male,18.0,0,0,73.5,S
393,2,1,female,18.0,0,1,23.0,S
394,2,1,female,34.0,0,1,23.0,S
395,2,0,male,54.0,0,0,26.0,S
396,2,1,male,8.0,0,2,32.5,S
397,2,0,male,42.0,1,1,32.5,S
398,2,1,female,34.0,1,1,32.5,S
399,2,1,female,27.0,1,0,13.9,C
400,2,1,female,30.0,1,0,13.9,C
401,2,0,male,23.0,0,0,13.0,S
402,2,0,male,21.0,0,0,13.0,S
403,2,0,male,18.0,0,0,13.0,S
404,2,0,male,40.0,1,0,26.0,S
405,2,1,female,29.0,1,0,26.0,S
406,2,0,male,18.0,0,0,10.5,S
407,2,0,male,36.0,0,0,13.0,S
408,2,0,male,28.0,0,0,0.0,S
409,2,0,female,38.0,0,0,13.0,S
410,2,0,male,35.0,0,0,26.0,S
411,2,0,male,38.0,1,0,21.0,S
412,2,0,male,34.0,1,0,21.0,S
413,2,1,female,34.0,0,0,13.0,S
414,2,0,male,16.0,0,0,26.0,S
415,2,0,male,26.0,0,0,10.5,S
416,2,0,male,47.0,0,0,10.5,S
417,2,0,male,21.0,1,0,11.5,S
418,2,0,male,21.0,1,0,11.5,S
419,2,0,male,24.0,0,0,13.5,S
420,2,0,male,24.0,0,0,13.0,S
421,2,0,male,34.0,0,0,13.0,S
422,2,0,male,30.0,0,0,13.0,S
423,2,0,male,52.0,0,0,13.0,S
424,2,0,male,30.0,0,0,13.0,S
425,2,1,male,0.7,1,1,14.5,S
426,2,1,female,24.0,0,2,14.5,S
427,2,0,male,44.0,0,0,13.0,S
428,2,1,female,6.0,0,1,33.0,S
429,2,0,male,28.0,0,1,33.0,S
430,2,1,male,62.0,0,0,10.5,S
431,2,0,male,30.0,0,0,10.5,S
432,2,1,female,7.0,0,2,26.2,S
433,2,0,male,43.0,1,1,26.2,S
434,2,1,female,45.0,1,1,26.2,S
435,2,1,female,24.0,1,2,65.0,S
436,2,1,female,24.0,1,2,65.0,S
437,2,0,male,49.0,1,2,65.0,S
438,2,1,female,48.0,1,2,65.0,S
439,2,1,female,55.0,0,0,16.0,S
440,2,0,male,24.0,2,0,73.5,S
441,2,0,male,32.0,2,0,73.5,S
442,2,0,male,21.0,2,0,73.5,S
443,2,0,female,18.0,1,1,13.0,S
444,2,1,female,20.0,2,1,23.0,S
445,2,0,male,23.0,2,1,11.5,S
446,2,0,male,36.0,0,0,13.0,S
447,2,1,female,54.0,1,3,23.0,S
448,2,0,male,50.0,0,0,13.0,S
449,2,0,male,44.0,1,0,26.0,S
450,2,1,female,29.0,1,0,26.0,S
451,2,0,male,21.0,0,0,73.5,S
452,2,1,male,42.0,0,0,13.0,S
453,2,0,male,63.0,1,0,26.0,S
454,2,0,female,60.0,1,0,26.0,S
455,2,0,male,33.0,0,0,12.3,S
456,2,1,female,17.0,0,0,10.5,S
457,2,0,male,42.0,1,0,27.0,S
458,2,1,female,24.0,2,1,27.0,S
459,2,0,male,47.0,0,0,15.0,S
460,2,0,male,24.0,2,0,31.5,S
461,2,0,male,22.0,2,0,31.5,S
462,2,0,male,32.0,0,0,10.5,S
463,2,1,female,23.0,0,0,13.8,C
464,2,0,male,34.0,1,0,26.0,S
465,2,1,female,24.0,1,0,26.0,S
466,2,0,female,22.0,0,0,21.0,S
467,2,1,female,28.0,0,0,12.4,Q
468,2,0,male,35.0,0,0,12.4,Q
469,2,1,female,45.0,0,0,13.5,S
470,2,0,male,57.0,0,0,12.4,Q
471,2,0,male,28.0,0,0,0.0,S
472,2,0,male,31.0,0,0,10.5,S
473,2,0,female,26.0,1,1,26.0,S
474,2,0,male,30.0,1,1,26.0,S
475,2,0,male,28.0,0,0,10.7,Q
476,2,1,female,1.0,1,2,41.6,C
477,2,1,female,3.0,1,2,41.6,C
478,2,0,male,25.0,1,2,41.6,C
479,2,1,female,22.0,1,2,41.6,C
480,2,1,female,17.0,0,0,12.0,C
481,2,1,female,28.0,0,0,33.0,S
482,2,1,female,34.0,0,0,10.5,S
483,2,0,male,36.0,0,0,12.9,C
484,2,0,male,24.0,0,0,10.5,S
485,2,0,male,61.0,0,0,12.4,Q
486,2,0,male,50.0,1,0,26.0,S
487,2,1,female,42.0,1,0,26.0,S
488,2,0,female,57.0,0,0,10.5,S
489,2,0,male,28.0,0,0,15.0,C
490,2,1,male,1.0,0,2,37.0,C
491,2,0,male,31.0,1,1,37.0,C
492,2,1,female,24.0,1,1,37.0,C
493,2,0,male,28.0,0,0,15.6,C
494,2,0,male,30.0,0,0,13.0,S
495,2,0,male,40.0,0,0,16.0,S
496,2,0,male,32.0,0,0,13.5,S
497,2,0,male,30.0,0,0,13.0,S
498,2,0,male,46.0,0,0,26.0,S
499,2,1,female,13.0,0,1,19.5,S
500,2,1,female,41.0,0,1,19.5,S
501,2,1,male,19.0,0,0,10.5,S
502,2,0,male,39.0,0,0,13.0,S
503,2,0,male,48.0,0,0,13.0,S
504,2,0,male,70.0,0,0,10.5,S
505,2,0,male,27.0,0,0,13.0,S
506,2,0,male,54.0,0,0,14.0,S
507,2,0,male,39.0,0,0,26.0,S
508,2,0,male,16.0,0,0,10.5,S
509,2,0,male,62.0,0,0,9.7,Q
510,2,0,male,32.5,1,0,30.1,C
511,2,1,female,14.0,1,0,30.1,C
512,2,1,male,2.0,1,1,26.0,S
513,2,1,male,3.0,1,1,26.0,S
514,2,0,male,36.5,0,2,26.0,S
515,2,0,male,26.0,0,0,13.0,S
516,2,0,male,19.0,1,1,36.8,S
517,2,0,male,28.0,0,0,13.5,S
518,2,1,male,20.0,0,0,13.9,C
519,2,1,female,29.0,0,0,10.5,S
520,2,0,male,39.0,0,0,13.0,S
521,2,1,male,22.0,0,0,10.5,S
522,2,1,male,28.0,0,0,13.9,C
523,2,0,male,23.0,0,0,10.5,S
524,2,1,male,29.0,0,0,13.9,C
525,2,0,male,28.0,0,0,10.5,S
526,2,0,male,28.0,0,0,0.0,S
527,2,1,female,50.0,0,1,26.0,S
528,2,0,male,19.0,0,0,10.5,S
529,2,0,male,28.0,0,0,15.0,C
530,2,0,male,41.0,0,0,13.0,S
531,2,1,female,21.0,0,1,21.0,S
532,2,1,female,19.0,0,0,26.0,S
533,2,0,male,43.0,0,1,21.0,S
534,2,1,female,32.0,0,0,13.0,S
535,2,0,male,34.0,0,0,13.0,S
536,2,1,male,30.0,0,0,12.7,C
537,2,0,male,27.0,0,0,15.0,C
538,2,1,female,2.0,1,1,26.0,S
539,2,1,female,8.0,1,1,26.0,S
540,2,1,female,33.0,0,2,26.0,S
541,2,0,male,36.0,0,0,10.5,S
542,2,0,male,34.0,1,0,21.0,S
543,2,1,female,30.0,3,0,21.0,S
544,2,1,female,28.0,0,0,13.0,S
545,2,0,male,23.0,0,0,15.0,C
546,2,1,male,0.8,1,1,18.8,S
547,2,1,male,3.0,1,1,18.8,S
548,2,1,female,24.0,2,3,18.8,S
549,2,1,female,50.0,0,0,10.5,S
550,2,0,male,19.0,0,0,10.5,S
551,2,1,female,21.0,0,0,10.5,S
552,2,0,male,26.0,0,0,13.0,S
553,2,0,male,25.0,0,0,13.0,S
554,2,0,male,27.0,0,0,26.0,S
555,2,1,female,25.0,0,1,26.0,S
556,2,1,female,18.0,0,2,13.0,S
557,2,1,female,20.0,0,0,36.8,S
558,2,1,female,30.0,0,0,13.0,S
559,2,0,male,59.0,0,0,13.5,S
560,2,1,female,30.0,0,0,12.4,Q
561,2,0,male,35.0,0,0,10.5,S
562,2,1,female,40.0,0,0,13.0,S
563,2,0,male,25.0,0,0,13.0,S
564,2,0,male,41.0,0,0,15.0,C
565,2,0,male,25.0,0,0,10.5,S
566,2,0,male,18.5,0,0,13.0,S
567,2,0,male,14.0,0,0,65.0,S
568,2,1,female,50.0,0,0,10.5,S
569,2,0,male,23.0,0,0,13.0,S
570,2,1,female,28.0,0,0,12.6,S
571,2,1,female,27.0,0,0,10.5,S
572,2,0,male,29.0,1,0,21.0,S
573,2,0,female,27.0,1,0,21.0,S
574,2,0,male,40.0,0,0,13.0,S
575,2,1,female,31.0,0,0,21.0,S
576,2,0,male,30.0,1,0,21.0,S
577,2,0,male,23.0,1,0,10.5,S
578,2,1,female,31.0,0,0,21.0,S
579,2,0,male,28.0,0,0,0.0,S
580,2,1,female,12.0,0,0,15.8,S
581,2,1,female,40.0,0,0,15.8,S
582,2,1,female,32.5,0,0,13.0,S
583,2,0,male,27.0,1,0,26.0,S
584,2,1,female,29.0,1,0,26.0,S
585,2,1,male,2.0,1,1,23.0,S
586,2,1,female,4.0,1,1,23.0,S
587,2,1,female,29.0,0,2,23.0,S
588,2,1,female,0.9,1,2,27.8,S
589,2,1,female,5.0,1,2,27.8,S
590,2,0,male,36.0,1,2,27.8,S
591,2,1,female,33.0,1,2,27.8,S
592,2,0,male,66.0,0,0,10.5,S
593,2,0,male,28.0,0,0,12.9,S
594,2,1,male,31.0,0,0,13.0,S
595,2,1,male,28.0,0,0,13.0,S
596,2,1,female,26.0,0,0,13.5,S
597,2,0,female,24.0,0,0,13.0,S
598,3,0,male,42.0,0,0,7.6,S
599,3,0,male,13.0,0,2,20.2,S
600,3,0,male,16.0,1,1,20.2,S
601,3,1,female,35.0,1,1,20.2,S
602,3,1,female,16.0,0,0,7.6,S
603,3,1,male,25.0,0,0,7.6,S
604,3,1,male,20.0,0,0,7.9,S
605,3,1,female,18.0,0,0,7.2,C
606,3,0,male,30.0,0,0,7.2,S
607,3,0,male,26.0,0,0,8.0,S
608,3,0,female,40.0,1,0,9.5,S
609,3,1,male,0.8,0,1,9.4,S
610,3,1,female,18.0,0,1,9.4,S
611,3,1,male,26.0,0,0,18.8,C
612,3,0,male,26.0,0,0,7.9,S
613,3,0,male,20.0,0,0,7.9,S
614,3,0,male,24.0,0,0,7.0,S
615,3,0,male,25.0,0,0,7.0,S
616,3,0,male,35.0,0,0,8.0,S
617,3,0,male,18.0,0,0,8.3,S
618,3,0,male,32.0,0,0,22.5,S
619,3,1,female,19.0,1,0,7.9,S
620,3,0,male,4.0,4,2,31.3,S
621,3,0,female,6.0,4,2,31.3,S
622,3,0,female,2.0,4,2,31.3,S
623,3,1,female,17.0,4,2,7.9,S
624,3,0,female,38.0,4,2,7.8,S
625,3,0,female,9.0,4,2,31.3,S
626,3,0,female,11.0,4,2,31.3,S
627,3,0,male,39.0,1,5,31.3,S
628,3,1,male,27.0,0,0,7.8,S
629,3,0,male,26.0,0,0,7.8,S
630,3,0,female,39.0,1,5,31.3,S
631,3,0,male,20.0,0,0,7.9,S
632,3,0,male,26.0,0,0,7.9,S
